Episode 1 Step 45: Training Loss nan, Return 10.0
Episode 2 Step 14: Training Loss nan, Return 10.0
Episode 3 Step 14: Training Loss nan, Return 10.0
Episode 4 Step 12: Training Loss nan, Return 10.0
Episode 5 Step 13: Training Loss nan, Return 10.0
Episode 6 Step 12: Training Loss nan, Return 10.0
Episode 7 Step 20: Training Loss nan, Return 8.0
Episode 8 Step 25: Training Loss nan, Return 8.0
Episode 9 Step 22: Training Loss nan, Return 9.0
Episode 10 Step 24: Training Loss nan, Return 10.0
Episode 11 Step 14: Training Loss nan, Return 9.0
Episode 12 Step 12: Training Loss nan, Return 9.0
Episode 13 Step 20: Training Loss nan, Return 8.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:74: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 296 Step 292: Training Loss 0.06127394735813141, Return 300.0
Episode 297 Step 282: Training Loss 0.06600566953420639, Return 278.0
Episode 298 Step 276: Training Loss 0.07052579522132874, Return 342.0
Episode 299 Step 308: Training Loss 0.0673891082406044, Return 318.0
Episode 300 Step 304: Training Loss 0.06908734887838364, Return 334.0
Episode 301 Step 329: Training Loss 0.07061757892370224, Return 375.0
Episode 302 Step 301: Training Loss 0.07331418246030807, Return 393.0
Episode 303 Step 332: Training Loss 0.07597121596336365, Return 324.0
Episode 304 Step 306: Training Loss 0.08183343708515167, Return 304.0
Episode 305 Step 308: Training Loss 0.07311706990003586, Return 317.0
Episode 306 Step 324: Training Loss 0.08348598331212997, Return 325.0
Episode 307 Step 306: Training Loss 0.08363914489746094, Return 310.0
Episode 308 Step 296: Training Loss 0.07673916965723038, Return 319.0
Episode 309 Step 309: Training Loss 0.09718475490808487, Return 292.0
Episode 310 Step 261: Training Loss 0.08398588001728058, Return 327.0
Episode 311 Step 308: Training Loss 0.09255669265985489, Return 312.0
Episode 312 Step 306: Training Loss 0.0883951410651207, Return 291.0
Episode 313 Step 278: Training Loss 0.08173432946205139, Return 339.0
Episode 314 Step 279: Training Loss 0.09561250358819962, Return 283.0
Episode 315 Step 294: Training Loss 0.10481695830821991, Return 278.0
Episode 316 Step 274: Training Loss 0.09520751237869263, Return 282.0
Episode 317 Step 268: Training Loss 0.08933577686548233, Return 301.0
