Episode 1 Step 13: Training Loss nan, Return 8.0
Episode 2 Step 42: Training Loss nan, Return 9.0
Episode 3 Step 19: Training Loss nan, Return 9.0
Episode 4 Step 18: Training Loss nan, Return 9.0
Episode 5 Step 13: Training Loss nan, Return 10.0
Episode 6 Step 28: Training Loss nan, Return 11.0
Episode 7 Step 22: Training Loss nan, Return 9.0
Episode 8 Step 24: Training Loss nan, Return 8.0
Episode 9 Step 15: Training Loss nan, Return 11.0
Episode 10 Step 39: Training Loss nan, Return 10.0
Episode 11 Step 18: Training Loss nan, Return 10.0
Episode 12 Step 30: Training Loss nan, Return 9.0
Episode 13 Step 22: Training Loss nan, Return 10.0
Episode 14 Step 12: Training Loss nan, Return 10.0
Episode 15 Step 13: Training Loss nan, Return 10.0
Episode 16 Step 16: Training Loss nan, Return 9.0
Episode 17 Step 21: Training Loss nan, Return 9.0
Episode 18 Step 17: Training Loss nan, Return 9.0
Episode 19 Step 13: Training Loss nan, Return 9.0
Episode 20 Step 13: Training Loss nan, Return 10.0
Episode 21 Step 51: Training Loss nan, Return 9.0
Episode 22 Step 16: Training Loss nan, Return 10.0
Episode 23 Step 26: Training Loss nan, Return 10.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:77: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 288 Step 12: Training Loss 0.1810159683227539, Return 10.0
Episode 289 Step 12: Training Loss 0.1769622415304184, Return 11.0
Episode 290 Step 12: Training Loss 0.17184336483478546, Return 11.0
Episode 291 Step 13: Training Loss 0.1750912070274353, Return 13.0
Episode 292 Step 11: Training Loss 0.17412617802619934, Return 10.0
Episode 293 Step 10: Training Loss 0.1845991015434265, Return 10.0
Episode 294 Step 13: Training Loss 0.18046563863754272, Return 9.0
Episode 295 Step 9: Training Loss 0.18065547943115234, Return 10.0
Episode 296 Step 12: Training Loss 0.182469442486763, Return 11.0
Episode 297 Step 14: Training Loss 0.17852623760700226, Return 12.0
Episode 298 Step 13: Training Loss 0.18304048478603363, Return 10.0
Episode 299 Step 10: Training Loss 0.17617107927799225, Return 10.0
Episode 300 Step 10: Training Loss 0.17762328684329987, Return 10.0
Episode 301 Step 9: Training Loss 0.1819876879453659, Return 10.0
Episode 302 Step 13: Training Loss 0.18608473241329193, Return 10.0
Episode 303 Step 20: Training Loss 0.1833701729774475, Return 12.0
Episode 304 Step 12: Training Loss 0.1814335137605667, Return 12.0
Episode 305 Step 12: Training Loss 0.18949560821056366, Return 11.0
Episode 306 Step 14: Training Loss 0.1820150911808014, Return 10.0
Episode 307 Step 15: Training Loss 0.19488270580768585, Return 14.0
Episode 308 Step 13: Training Loss 0.18359628319740295, Return 14.0
Episode 309 Step 16: Training Loss 0.19285869598388672, Return 10.0
Episode 310 Step 12: Training Loss 0.1870429515838623, Return 14.0
Episode 311 Step 14: Training Loss 0.18148507177829742, Return 13.0
Episode 312 Step 12: Training Loss 0.19068127870559692, Return 11.0
Episode 313 Step 11: Training Loss 0.1834932416677475, Return 13.0
Episode 314 Step 10: Training Loss 0.18020060658454895, Return 11.0
Episode 315 Step 12: Training Loss 0.18236756324768066, Return 13.0
Episode 316 Step 10: Training Loss 0.18897713720798492, Return 14.0
Episode 317 Step 14: Training Loss 0.1917286366224289, Return 12.0
Episode 318 Step 10: Training Loss 0.20659060776233673, Return 11.0
Episode 319 Step 16: Training Loss 0.19337955117225647, Return 14.0
Episode 320 Step 13: Training Loss 0.19682112336158752, Return 14.0
Episode 321 Step 13: Training Loss 0.19333018362522125, Return 16.0
Episode 322 Step 14: Training Loss 0.19364576041698456, Return 10.0
Episode 323 Step 16: Training Loss 0.20181655883789062, Return 12.0
Episode 324 Step 11: Training Loss 0.20297695696353912, Return 12.0
Episode 325 Step 12: Training Loss 0.1963781863451004, Return 13.0
Episode 326 Step 13: Training Loss 0.19556577503681183, Return 15.0
Episode 327 Step 13: Training Loss 0.20169462263584137, Return 11.0
Episode 328 Step 11: Training Loss 0.1965305209159851, Return 11.0
Episode 329 Step 14: Training Loss 0.20296387374401093, Return 12.0
Episode 330 Step 17: Training Loss 0.197022944688797, Return 14.0
Episode 331 Step 17: Training Loss 0.20572412014007568, Return 13.0
